Product Name,Brand,Ingredients,Health Risk Numerical Data,Health Risk Level,Long-Term Health Effects,Skin Type Numerical Data,Skin Type,Age Group Numerical Data,Age Group,Price,Rupees,Rating,Usage Instructions
Facial Mist,Brand Z,"Aloe Vera, Rose Water",201,High,Refreshing,1,Normal,101,Adult,$15 ,1275,4.7,Spray onto face for a boost of hydration
Dry Shampoo,Brand Z,"Isobutane, Rice Starch",201,High,Oil Absorption,3,Oily,101,Adult,$12 ,1020,4.4,"Spray onto roots, brush out"
Shampoo,Brand K,"Sodium Lauryl Sulfate, Cocamidopropyl Betaine",204,Moderate,Scalp Irritation,3,Oily,101,Adult,$12 ,1020,4.3,"Massage into wet hair, rinse thoroughly"
Toner,Brand AA,"Witch Hazel, Aloe Vera",201,High,Pore Minimizing,5,Combination,101,Adult,$18 ,1530,4.6,Apply on cleansed skin using a cotton pad
Hair Serum,Brand BB,"Dimethicone, Argan Oil",201,High,Frizz Control,1,Normal,101,Adult,$20 ,1700,4.3,Apply to damp or dry hair
Face Scrub,Brand CC,Apricot Kernel Powder,204,Moderate,Exfoliation,3,Oily,101,Adult,$15 ,1275,4.5,"Massage onto damp skin, rinse off"
Body Wash,Brand DD,"Sodium Laureth Sulfate, Glycerin",204,Moderate,Cleansing,4,Dry,101,Adult,$12 ,1020,4.2,"Apply to wet skin, lather, rinse off"
CC Cream,Brand EE,"Titanium Dioxide, Niacinamide",201,High,Color Correction,5,Combination,101,Adult,$25 ,2125,4.7,Apply evenly on face
Eye Gel,Brand FF,"Caffeine, Hyaluronic Acid",201,High,Dark Circles Reduction,4,Dry,101,Adult,$30 ,2550,4.8,Gently pat around eye area
Body Scrub,Brand GG,"Sugar, Coconut Oil",201,High,Exfoliation,1,Normal,101,Adult,$18 ,1530,4.4,"Massage onto damp skin, rinse off"
Hand Cream,Brand HH,"Shea Butter, Vitamin E",201,High,Moisturizing,4,Dry,101,Adult,$10 ,850,4.6,Apply to hands and massage in
Hair Gel,Brand II,"Water, PVP",201,High,Styling,1,Normal,101,Adult,$8 ,680,4,"Apply to wet or dry hair, style as desired"
Face Wipes,Brand JJ,"Water, Glycerin",201,High,Cleansing,3,Oily,101,Adult,$12 ,1020,4.2,Wipe over face to remove makeup
Hand Sanitizer,Brand KK,"Ethyl Alcohol, Aloe Vera",201,High,Germ Protection,6,All,101,Adult,$5 ,425,4.5,"Apply a small amount, rub into hands"
Face Oil Cleanser,Brand LL,"Jojoba Oil, Sunflower Oil",201,High,Cleansing,5,Combination,101,Adult,$20 ,1700,4.3,"Massage onto dry skin, rinse off"
Lip Scrub,Brand MM,"Sugar, Coconut Oil",201,High,Exfoliation,1,Normal,101,Adult,$10 ,850,4.4,"Apply to lips, gently massage, rinse off"
Hair Spray,Brand NN,"Alcohol Denat, Water",204,Moderate,Styling,6,All,101,Adult,$15 ,1275,4.1,"Spray onto hair, style as desired"
Cleansing Balm,Brand OO,"Coconut Oil, Shea Butter",201,High,Makeup Removal,4,Dry,101,Adult,$25 ,2125,4.7,"Massage onto dry skin, rinse off"
Foot Cream,Brand PP,"Urea, Shea Butter",201,High,Moisturizing,4,Dry,101,Adult,$12 ,1020,4.5,"Apply to feet, massage in"
Dry Body Oil,Brand QQ,"Argan Oil, Vitamin E",201,High,Hydration,4,Dry,101,Adult,$30 ,2550,4.6,Apply to damp or dry skin
Face Mist,Brand RR,"Rose Water, Glycerin",201,High,Hydration,1,Normal,101,Adult,$18 ,1530,4.4,Spray onto face for a refreshing boost
Hair Mask,Brand SS,"Avocado Oil, Keratin",201,High,Hair Repair,1,Normal,101,Adult,$25 ,2125,4.3,"Apply to clean, damp hair, leave for 20 mins"
CC Powder,Brand TT,"Silica, Titanium Dioxide",201,High,Color Correction,5,Combination,101,Adult,$20 ,1700,4.5,Apply evenly on face
Body Butter,Brand UU,"Cocoa Butter, Coconut Oil",201,High,Moisturizing,4,Dry,101,Adult,$18 ,1530,4.6,"Apply to skin, massage in"
Scalp Scrub,Brand VV,"Sea Salt, Peppermint Oil",204,Moderate,Exfoliation,3,Oily,101,Adult,$20 ,1700,4.2,"Massage onto scalp, rinse off"
Foot Scrub,Brand WW,"Epsom Salt, Peppermint Oil",201,High,Exfoliation,1,Normal,101,Adult,$15 ,1275,4.3,"Massage onto feet, rinse off"
Beard Oil,Brand XX,"Jojoba Oil, Argan Oil",201,High,Hydration,4,Dry,101,Adult,$20 ,1700,4.7,"Apply to beard, massage in"
Face Peel,Brand YY,"Glycolic Acid, Lactic Acid",204,Moderate,Exfoliation,3,Oily,101,Adult,$30 ,2550,4.5,"Apply to clean, dry skin, leave for 10 mins"
Lip Mask,Brand ZZ,"Shea Butter, Coconut Oil",201,High,Hydration,4,Dry,101,Adult,$25 ,2125,4.4,"Apply to lips, leave on overnight"
Hair Mousse,Brand AAA,"Water, Polyquaternium-4",201,High,Volume,1,Normal,101,Adult,$12 ,1020,4.1,"Apply to damp hair, style as desired"
Foot Mask,Brand BBB,"Shea Butter, Peppermint Oil",201,High,Hydration,4,Dry,101,Adult,$18 ,1530,4.3,"Apply to clean, dry feet, leave on for 20 mins"
Nail Serum,Brand CCC,"Vitamin E, Biotin",201,High,Nail Strengthening,6,All,101,Adult,$20 ,1700,4.2,Apply to nails and cuticles daily
Face Wash,Brand EEE,"Salicylic Acid, Tea Tree Oil",201,High,Acne Control,3,Oily,101,Adult,$10 ,850,4.3,"Massage onto wet skin, rinse off"
Lip Stain,Brand FFF,"Red 27, Alcohol",204,Moderate,Lip Pigmentation,1,Normal,101,Adult,$12 ,1020,4.1,"Apply to lips, allow to dry"
Body Oil,Brand GGG,"Jojoba Oil, Sweet Almond Oil",201,High,Hydration,4,Dry,101,Adult,$18 ,1530,4.5,"Apply to damp skin, massage in"
Hair Conditioner,Brand HHH,"Behentrimonium Chloride, Cetyl Alcohol",201,High,Hair Softening,1,Normal,101,Adult,$15 ,1275,4.6,"Apply to clean, wet hair, leave for 2 mins"
Face Exfoliator,Brand III,"Glycolic Acid, Lactic Acid",204,Moderate,Exfoliation,3,Oily,101,Adult,$20 ,1700,4.2,"Massage onto damp skin, rinse off"
Hand Wash,Brand JJJ,"Sodium Laureth Sulfate, Cocamidopropyl Betaine",204,Moderate,Cleansing,4,Dry,101,Adult,$8 ,680,4.4,"Apply to wet hands, lather, rinse off"
Makeup Sponge,Brand KKK,Latex-Free Foam,201,High,Makeup Application,6,All,101,Adult,$5 ,425,4.3,"Dampen sponge, blend makeup"
Body Mist,Brand LLL,"Coconut Water, Aloe Vera",201,High,Refreshing,1,Normal,101,Adult,$12 ,1020,4.7,Spritz onto body for a light scent
Face Roller,Brand MMM,Rose Quartz,201,High,Facial Massage,6,All,101,Adult,$25 ,2125,4.8,Gently roll over face for relaxation
Hair Brush,Brand NNN,"Nylon Bristles, Plastic Handle",201,High,Hair Styling,6,All,101,Adult,$10 ,850,4.5,Brush hair to detangle and style
Setting Powder,Brand OOO,"Talc, Silica",201,High,Makeup Setting,5,Combination,101,Adult,$15 ,1275,4.6,Apply with a brush to set makeup
Body Scrubber,Brand PPP,"Nylon, Polyester",201,High,Exfoliation,6,All,101,Adult,$5 ,425,4.2,Use in shower to cleanse and exfoliate
Foot Spray,Brand QQQ,"Peppermint Oil, Tea Tree Oil",201,High,Odor Control,6,All,101,Adult,$8 ,680,4.4,Spray onto feet for freshness
Lip Oil,Brand RRR,"Jojoba Oil, Vitamin E",201,High,Hydration,4,Dry,101,Adult,$12 ,1020,4.3,Apply to lips for moisture
Face Mask Brush,Brand SSS,Silicone,201,High,Application,6,All,101,Adult,$5 ,425,4.7,Use to apply face masks evenly
Hair Wax,Brand TTT,"Beeswax, Lanolin",201,High,Hair Styling,6,All,101,Adult,$10 ,850,4.1,"Rub a small amount onto palms, style hair"
Body Polish,Brand UUU,"Sea Salt, Coconut Oil",201,High,Exfoliation,6,All,101,Adult,$18 ,1530,4.5,"Massage onto damp skin, rinse off"
Facial Oil,Brand VVV,"Rosehip Oil, Squalane",201,High,Hydration,4,Dry,101,Adult,$25 ,2125,4.6,Apply a few drops to clean skin
Hair Serum,Brand WWW,"Argan Oil, Keratin",201,High,Frizz Control,1,Normal,101,Adult,$20 ,1700,4.4,Apply to damp or dry hair
Body Scrub,Brand XXX,"Coffee Grounds, Coconut Oil",201,High,Exfoliation,6,All,101,Adult,$15 ,1275,4.3,"Massage onto damp skin, rinse off"
Nail Strengthener,Brand YYY,"Formaldehyde, Calcium Pantothenate",201,High,Nail Strengthening,6,All,101,Adult,$12 ,1020,4.8,Apply to nails for strength
Foot Peel,Brand ZZZ,"Lactic Acid, Salicylic Acid",204,Moderate,Callus Removal,6,All,101,Adult,$20 ,1700,4.7,"Apply to feet, leave on for 1 hour, rinse off"
Body Balm,Brand AAAA,"Cocoa Butter, Shea Butter",201,High,Moisturizing,4,Dry,101,Adult,$18 ,1530,4.5,"Apply to skin, massage in"
Eyebrow Gel,Brand BBBB,"Panthenol, Glycerin",201,High,Brow Styling,6,All,101,Adult,$10 ,850,4.2,Brush onto eyebrows to set
Hair Perfume,Brand CCCC,"Alcohol Denat, Fragrance",201,High,Scent,6,All,101,Adult,$15 ,1275,4.6,Spritz onto hair for fragrance
Body Cream,Brand DDDD,"Shea Butter, Vitamin E",201,High,Hydration,4,Dry,101,Adult,$20 ,1700,4.4,"Apply to skin, massage in"
Lip Mask,Brand EEEE,"Shea Butter, Jojoba Oil",201,High,Hydration,4,Dry,101,Adult,$25 ,2125,4.3,"Apply to lips, leave on overnight"
Hair Clay,Brand FFFF,"Bentonite Clay, Beeswax",201,High,Hair Styling,6,All,101,Adult,$18 ,1530,4.5,"Rub a small amount onto palms, style hair"
Hair Mask,Brand GGGG,"Coconut Oil, Avocado Oil",201,High,Hair Repair,6,All,101,Adult,$25 ,2125,4.2,"Apply to clean, damp hair, leave for 20 mins"
Face Primer,Brand HHHH,"Dimethicone, Silica",201,High,Makeup Base,5,Combination,101,Adult,$20 ,1700,4.4,Apply before foundation
Lip Scrub,Brand IIII,"Sugar, Jojoba Oil",201,High,Exfoliation,1,Normal,101,Adult,$12 ,1020,4.3,"Apply to lips, gently massage, rinse off"
Body Lotion,Brand JJJJ,"Cocoa Butter, Glycerin",201,High,Moisturizing,4,Dry,101,Adult,$15 ,1275,4.5,"Apply to skin, massage in"
Eye Cream,Brand KKKK,"Retinol, Vitamin C",201,High,Anti-Aging,4,Dry,101,Adult,$25 ,2125,4.7,Gently pat around eye area
Makeup Remover,Brand LLLL,"Micellar Water, Glycerin",201,High,Gentle Removal,6,All,101,Adult,$10 ,850,4.2,"Apply to cotton pad, wipe off makeup"
Body Oil,Brand MMMM,"Coconut Oil, Rosehip Oil",201,High,Hydration,4,Dry,101,Adult,$18 ,1530,4.6,"Apply to damp skin, massage in"
BB Cream,Brand NNNN,"Zinc Oxide, Titanium Dioxide",201,High,Light Coverage,1,Normal,101,Adult,$20 ,1700,4.3,Apply evenly on face
Hair Mask,Brand OOOO,"Argan Oil, Coconut Oil",201,High,Hair Repair,6,All,101,Adult,$25 ,2125,4.4,"Apply to clean, damp hair, leave for 20 mins"
Foot Cream,Brand PPPP,"Shea Butter, Peppermint Oil",201,High,Moisturizing,4,Dry,101,Adult,$12 ,1020,4.7,"Apply to feet, massage in"
Cleansing Oil,Brand QQQQ,"Jojoba Oil, Sunflower Oil",201,High,Makeup Removal,6,All,101,Adult,$15 ,1275,4.5,"Massage onto dry skin, rinse off"
Hair Serum,Brand RRRR,"Argan Oil, Keratin",201,High,Frizz Control,1,Normal,101,Adult,$18 ,1530,4.2,Apply to damp or dry hair
Lip Mask,Brand SSSS,"Shea Butter, Vitamin E",201,High,Hydration,4,Dry,101,Adult,$25 ,2125,4.6,"Apply to lips, leave on overnight"
Face Mist,Brand TTTT,"Rose Water, Glycerin",201,High,Hydration,1,Normal,101,Adult,$18 ,1530,4.4,Spritz onto face for a refreshing boost
Hair Gel,Brand UUUU,"Water, PVP",201,High,Styling,6,All,101,Adult,$10 ,850,4.3,"Apply to wet or dry hair, style as desired"
Body Scrub,Brand VVVV,"Sugar, Coconut Oil",201,High,Exfoliation,6,All,101,Adult,$15 ,1275,4.8,"Massage onto damp skin, rinse off"
Facial Cleanser,Brand WWWW,"Sodium Lauryl Sulfate, Glycerin",201,High,Cleansing,3,Oily,101,Adult,$12 ,1020,4.1,"Massage onto wet skin, rinse off"
Nail Polish,Brand XXXX,"Butyl Acetate, Ethyl Acetate",201,High,Color,6,All,101,Adult,$8 ,680,4.5,"Apply on clean, dry nails"
Face Scrub,Brand YYYY,"Apricot Seed Powder, Kaolin",201,High,Exfoliation,3,Oily,101,Adult,$20 ,1700,4.2,"Massage onto damp skin, rinse off"
Lip Balm,Brand ZZZZ,"Beeswax, Coconut Oil",201,High,Hydration,4,Dry,101,Adult,$5 ,425,4.7,Apply to lips as needed
Hand Cream,Brand AAAAA,"Shea Butter, Almond Oil",201,High,Moisturizing,4,Dry,101,Adult,$12 ,1020,4.4,"Apply to hands, massage in"
Hair Spray,Brand BBBBB,"Alcohol Denat, Water",204,Moderate,Styling,6,All,101,Adult,$15 ,1275,4.6,"Spray onto hair, style as desired"
Face Oil,Brand CCCCC,"Rosehip Oil, Vitamin E",201,High,Hydration,4,Dry,101,Adult,$25 ,2125,4.3,Apply a few drops to clean skin
Body Butter,Brand DDDDD,"Cocoa Butter, Shea Butter",201,High,Moisturizing,4,Dry,101,Adult,$18 ,1530,4.5,"Apply to skin, massage in"
Foot Mask,Brand EEEEE,"Peppermint Oil, Shea Butter",201,High,Hydration,4,Dry,101,Adult,$20 ,1700,4.2,"Apply to clean, dry feet, leave on for 20 mins"
Hair Oil,Brand FFFFF,"Argan Oil, Coconut Oil",201,High,Nourishment,4,Dry,101,Adult,$20 ,1700,4.8,"Apply to hair, leave in"
Eye Gel,Brand GGGGG,"Caffeine, Hyaluronic Acid",201,High,Dark Circles Reduction,4,Dry,101,Adult,$30 ,2550,4.6,Gently pat around eye area
Face Roller,Brand HHHHH,Jade Stone,201,High,Facial Massage,6,All,101,Adult,$15 ,1275,4.4,Gently roll over face for relaxation
Lip Gloss,Brand IIIII,"Polybutene, Mineral Oil",201,High,User friendly,6,All,101,Adult,$12 ,1020,4.3,Apply over lipstick or alone
Hair Mask,Brand JJJJJ,"Avocado Oil, Honey",201,High,Hair Repair,6,All,101,Adult,$25 ,2125,4.5,"Apply to clean, damp hair, leave for 20 mins"
Baby Shampoo,Brand A,"Water, Cocamidopropyl Betaine",201,High,Gentle Cleaning,2,Sensitive,102,Baby,$8 ,680,4.7,"Apply to wet hair, rinse thoroughly"
Baby Lotion,Brand B,"Glycerin, Petrolatum",201,High,Moisturizing,2,Sensitive,102,Baby,$10 ,850,4.5,"Apply to baby's skin, massage gently"
Baby Oil,Brand C,"Mineral Oil, Aloe Vera",201,High,Hydration,2,Sensitive,102,Baby,$12 ,1020,4.6,"Apply to baby's skin, massage gently"
Baby Powder,Brand D,"Cornstarch, Zinc Oxide",201,High,Absorbent,2,Sensitive,102,Baby,$8 ,680,4.3,Apply to baby's skin as needed
Baby Wash,Brand E,"Water, Sodium Laureth Sulfate",201,High,Gentle Cleansing,2,Sensitive,102,Baby,$10 ,850,4.8,"Apply to wet skin, lather, rinse off"
Baby Cream,Brand F,"Shea Butter, Calendula Oil",201,High,Soothing,2,Sensitive,102,Baby,$15 ,1275,4.5,Apply to baby's skin as needed
Baby Wipes,Brand G,"Water, Aloe Vera",201,High,Gentle Cleaning,2,Sensitive,102,Baby,$5 ,425,4.6,Use to clean baby's bottom
Baby Diaper Cream,Brand H,"Zinc Oxide, Lanolin",201,High,Diaper Rash Prevention,2,Sensitive,102,Baby,$10 ,850,4.7,Apply to baby's bottom as needed
Baby Bath,Brand I,"Chamomile Extract, Glycerin",201,High,Calming,2,Sensitive,102,Baby,$12 ,1020,4.4,"Add to bathwater, gently wash baby"
Baby Sunscreen,Brand J,"Titanium Dioxide, Zinc Oxide",201,High,UV Protection,2,Sensitive,102,Baby,$15 ,1275,4.5,Apply liberally before sun exposure
Baby Shampoo,Brand K,"Water, Decyl Glucoside",201,High,Tear-Free,2,Sensitive,102,Baby,$8 ,680,4.6,"Apply to wet hair, rinse thoroughly"
Baby Massage Oil,Brand L,"Coconut Oil, Lavender Oil",201,High,Relaxation,2,Sensitive,102,Baby,$12 ,1020,4.8,Massage onto baby's skin gently
Baby Bubble Bath,Brand M,"Sodium Lauryl Sulfate, Citric Acid",201,High,Mild Bubbles,2,Sensitive,102,Baby,$10 ,850,4.7,"Add to running bathwater, swirl gently"
Baby Moisturizer,Brand N,"Jojoba Oil, Shea Butter",201,High,Nourishing,2,Sensitive,102,Baby,$15 ,1275,4.6,"Apply to baby's skin, massage gently"
Baby Body Wash,Brand O,"Coconut Oil, Calendula Extract",201,High,Gentle Cleansing,2,Sensitive,102,Baby,$10 ,850,4.5,"Apply to wet skin, lather, rinse off"
Baby Shampoo,Brand P,"Water, Glycerin",201,High,Tear-Free,2,Sensitive,102,Baby,$8 ,680,4.5,"Apply to wet hair, rinse thoroughly"
Baby Diaper Cream,Brand Q,"Zinc Oxide, Beeswax",201,High,Diaper Rash Prevention,2,Sensitive,102,Baby,$12 ,1020,4.7,Apply to baby's bottom as needed
Baby Lotion,Brand R,"Shea Butter, Almond Oil",201,High,Moisturizing,2,Sensitive,102,Baby,$10 ,850,4.6,"Apply to baby's skin, massage gently"
Baby Oil,Brand S,"Mineral Oil, Vitamin E",201,High,Hydration,2,Sensitive,102,Baby,$12 ,1020,4.7,"Apply to baby's skin, massage gently"
Baby Powder,Brand T,"Cornstarch, Lavender Oil",201,High,Absorbent,2,Sensitive,102,Baby,$8 ,680,4.5,Apply to baby's skin as needed
Baby Wash,Brand U,"Water, Cocamidopropyl Betaine",201,High,Gentle Cleansing,2,Sensitive,102,Baby,$10 ,850,4.8,"Apply to wet skin, lather, rinse off"
Baby Cream,Brand V,"Cocoa Butter, Coconut Oil",201,High,Soothing,2,Sensitive,102,Baby,$15 ,1275,4.6,Apply to baby's skin as needed
Baby Wipes,Brand W,"Water, Chamomile Extract",201,High,Gentle Cleaning,2,Sensitive,102,Baby,$5 ,425,4.7,Use to clean baby's bottom
Baby Sunscreen,Brand X,"Zinc Oxide, Titanium Dioxide",201,High,UV Protection,2,Sensitive,102,Baby,$15 ,1275,4.6,Apply liberally before sun exposure
Baby Bath,Brand Y,"Coconut Oil, Shea Butter",201,High,Moisturizing,2,Sensitive,102,Baby,$12 ,1020,4.5,"Add to bathwater, gently wash baby"
Baby Shampoo,Brand Z,"Water, Glycerin",201,High,Tear-Free,2,Sensitive,102,Baby,$8 ,680,4.6,"Apply to wet hair, rinse thoroughly"
Baby Massage Oil,Brand AA,"Almond Oil, Jojoba Oil",201,High,Relaxation,2,Sensitive,102,Baby,$12 ,1020,4.7,Massage onto baby's skin gently
Baby Bubble Bath,Brand BB,"Coconut Oil, Lavender Oil",201,High,Mild Bubbles,2,Sensitive,102,Baby,$10 ,850,4.5,"Add to running bathwater, swirl gently"
Baby Moisturizer,Brand CC,"Shea Butter, Cocoa Butter",201,High,Nourishing,2,Sensitive,102,Baby,$15 ,1275,4.8,"Apply to baby's skin, massage gently"
Baby Calming Balm,Brand AAAA,"Lavender Oil, Chamomile Extract",201,High,Calming,2,Sensitive,102,Baby,$12 ,1020,4.7,Apply to baby's skin as needed
Gentle Baby Wash,Brand BBBB,"Coconut Oil, Shea Butter",201,High,Gentle Cleansing,2,Sensitive,102,Baby,$10 ,850,4.6,"Apply to wet skin, lather, rinse off"
Soothing Baby Cream,Brand CCCC,"Calendula Extract, Jojoba Oil",201,High,Soothing,2,Sensitive,102,Baby,$15 ,1275,4.8,Apply to baby's skin as needed
Delicate Baby Oil,Brand DDDD,"Almond Oil, Vitamin E",201,High,Hydration,2,Sensitive,102,Baby,$12 ,1020,4.5,"Apply to baby's skin, massage gently"
Baby Moisturizing Lotion,Brand EEEE,"Shea Butter, Coconut Oil",201,High,Moisturizing,2,Sensitive,102,Baby,$10 ,850,4.7,"Apply to baby's skin, massage gently"
Baby Comfort Balm,Brand FFFF,"Chamomile Oil, Lavender Oil",201,High,Comforting,2,Sensitive,102,Baby,$12 ,1020,4.6,Apply to baby's skin as needed
Nourishing Baby Shampoo,Brand GGGG,"Argan Oil, Wheat Protein",201,High,Nourishing,2,Sensitive,102,Baby,$8 ,680,4.5,"Apply to wet hair, rinse thoroughly"
Baby Dreamy Bath,Brand HHHH,"Lavender Extract, Calendula Extract",201,High,Relaxing,2,Sensitive,102,Baby,$12 ,1020,4.7,"Add to bathwater, gently wash baby"
Baby Gentle Sunscreen,Brand IIII,"Zinc Oxide, Titanium Dioxide",201,High,UV Protection,2,Sensitive,102,Baby,$15 ,1275,4.8,Apply liberally before sun exposure
Baby Tender Lotion,Brand JJJJ,"Oatmeal Extract, Coconut Oil",201,High,Gentle Hydration,2,Sensitive,102,Baby,$10 ,850,4.6,"Apply to baby's skin, massage gently"
Baby Pure Oil,Brand KKKK,"Apricot Kernel Oil, Jojoba Oil",201,High,Pure Hydration,2,Sensitive,102,Baby,$12 ,1020,4.5,"Apply to baby's skin, massage gently"
Baby Blissful Balm,Brand LLLL,"Shea Butter, Lavender Oil",201,High,Blissful,2,Sensitive,102,Baby,$12 ,1020,4.7,Apply to baby's skin as needed
Baby Soothing Shampoo,Brand MMMM,"Aloe Vera, Coconut Oil",201,High,Soothing,2,Sensitive,102,Baby,$8 ,680,4.6,"Apply to wet hair, rinse thoroughly"
Baby Lavender Wash,Brand NNNN,"Lavender Oil, Chamomile Extract",201,High,Calming,2,Sensitive,102,Baby,$10 ,850,4.5,"Apply to wet skin, lather, rinse off"
Baby Cuddle Cream,Brand OOOO,"Cocoa Butter, Almond Oil",201,High,Cuddly,2,Sensitive,102,Baby,$15 ,1275,4.8,Apply to baby's skin as needed
Baby Silky Oil,Brand PPPP,"Sunflower Oil, Shea Butter",201,High,Silky Hydration,2,Sensitive,102,Baby,$12 ,1020,4.6,"Apply to baby's skin, massage gently"
Baby Comforting Bath,Brand QQQQ,"Chamomile Extract, Lavender Oil",201,High,Comforting,2,Sensitive,102,Baby,$12 ,1020,4.7,"Add to bathwater, gently wash baby"
Baby Tender Sunscreen,Brand RRRR,"Zinc Oxide, Shea Butter",201,High,UV Protection,2,Sensitive,102,Baby,$15 ,1275,4.5,Apply liberally before sun exposure
Baby Nurturing Lotion,Brand SSSS,"Almond Milk, Coconut Oil",201,High,Nurturing,2,Sensitive,102,Baby,$10 ,850,4.6,"Apply to baby's skin, massage gently"
Baby Softening Oil,Brand TTTT,"Apricot Kernel Oil, Jojoba Oil",201,High,Softening,2,Sensitive,102,Baby,$12 ,1020,4.7,"Apply to baby's skin, massage gently"
Baby Dreamy Cream,Brand UUUU,"Lavender Extract, Coconut Oil",201,High,Dreamy,2,Sensitive,102,Baby,$15 ,1275,4.8,Apply to baby's skin as needed
Baby Serene Shampoo,Brand VVVV,"Chamomile Extract, Calendula Extract",201,High,Serenity,2,Sensitive,102,Baby,$8 ,680,4.6,"Apply to wet hair, rinse thoroughly"
Baby Gentle Bath,Brand WWWW,"Oatmeal Extract, Coconut Oil",201,High,Gentle Cleansing,2,Sensitive,102,Baby,$10 ,850,4.7,"Add to bathwater, gently wash baby"
Baby Peaceful Oil,Brand XXXX,"Lavender Oil, Chamomile Oil",201,High,Peaceful,2,Sensitive,102,Baby,$12 ,1020,4.5,"Apply to baby's skin, massage gently"
Baby Comforting Balm,Brand YYY,"Shea Butter, Lavender Oil",201,High,Comforting,2,Sensitive,102,Baby,$12 ,1020,4.8,Apply to baby's skin as needed
Baby Pure Shampoo,Brand ZZZZ,"Aloe Vera, Coconut Oil",201,High,Pure Cleansing,2,Sensitive,102,Baby,$8 ,680,4.7,"Apply to wet hair, rinse thoroughly"
